trade_date,source,error,attempted_at
2020-01-02,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-08,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-09,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-14,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-15,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-16,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-30,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-01-31,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-04,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-05,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-11,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-12,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-14,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-18,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-19,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-21,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-24,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-25,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-26,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-02-27,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-02,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-04,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-05,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-09,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-11,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-12,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-16,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-18,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-19,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-23,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-24,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-25,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-26,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-27,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-30,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-03-31,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-01,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-08,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-09,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-14,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-15,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-16,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-21,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-22,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-23,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
