trade_date,foreign_net,investment_trust_net,dealer_net,foreign_futures_long,foreign_futures_short,foreign_futures_net,margin_balance,margin_change,short_balance,short_change
2025-08-05,11487780180,3666838413,4525435064,22761,58090,-35329,235386924,1976483,238525,4649
2025-08-06,-10820572461,1809040245,-2486144952,20044,56424,-36380,236036183,649284,242672,4147
2025-08-07,43239484056,1116606178,5518650529,24437,59226,-34789,237514928,1478421,250712,8040
2025-08-08,-3256238186,-1861859628,1292549715,21099,58689,-37590,238613969,1099831,251486,776
2025-08-11,-3985502559,428896562,3574496743,21672,57247,-35575,242509549,3892889,254595,3109
2025-08-12,-5731106152,-61610845,478638979,21633,56935,-35302,243266443,756894,262015,7420
2025-08-13,7036580411,-1502399863,2877054062,22724,56294,-33570,242383930,-882483,262196,181
2025-08-14,-4460109509,-2045083709,3884184380,21900,56279,-34379,245037336,2655348,265817,3621
2025-08-15,5373846115,-3356859132,2575066671,20968,55175,-34207,248323607,3284329,273209,7392
2025-08-18,4638950093,1731672993,7867966,26199,55825,-29626,249893217,1569394,282409,9200
2025-08-19,-11007665546,-1642414216,-6109036859,27019,59652,-32633,250196431,303214,280314,-2095
2025-08-20,-62668571933,-2734736666,-3624829038,17105,52248,-35143,248938691,-1257740,259187,-21127
2025-08-21,-10078910548,1604056355,2406528593,19173,49560,-30387,251706436,2767745,264293,5106
2025-08-22,-16397993687,-1163084639,-1027445143,21716,48451,-26735,251544566,-161870,264434,151
2025-08-25,24114791914,3231606250,5733999926,21711,47320,-25609,253933965,2389399,283199,18765
2025-08-26,-14508100864,-2425226828,3323825855,20592,47724,-27132,255260819,1326854,290776,7577
2025-08-27,-1947570889,-1647591422,11064706383,22813,47584,-24771,258305814,3044995,284183,-6593
2025-08-28,-9520531049,-2760035692,-1348886999,21168,47255,-26087,260232173,1926359,283860,-323
2025-08-29,-8635002338,-335109173,333746492,21342,47651,-26309,262327206,2095033,287081,3221
2025-09-01,-7666900296,-3059842787,-10867114741,21375,48039,-26664,259146921,-3180285,284097,-2984
2025-09-02,7786239530,-6102683470,-586657105,23319,47614,-24295,259012511,-134410,274300,-9797
2025-09-03,8199762036,-637699825,2420808288,23273,48061,-24788,261032905,2020378,284995,10695
2025-09-04,11808136125,-1545453579,1371151322,23910,47413,-23503,261541660,508826,277151,-7844
2025-09-05,28281116909,-433975608,5177669421,25250,46554,-21304,264481986,2940326,283235,6084
2025-09-08,14618525216,-1220126071,2598212260,25384,47383,-21999,266510445,2008326,278076,-5159
2025-09-09,35653694959,-1782067231,4655266115,28521,47313,-18792,267537039,1026594,282463,4387
2025-09-10,48947944283,-2727385240,11453485300,32440,50253,-17813,269963070,2426715,286959,4496
2025-09-11,32999661731,-6271656501,1773285798,35061,51378,-16317,265854797,-4108273,290002,3043
2025-09-12,26538500007,-5810072034,4941993693,33002,51560,-18558,265614897,-239900,297663,7661
2025-09-15,2546248589,-8246829092,996743279,31187,50083,-18896,264210665,-1404207,294399,-3264
2025-09-16,27003531062,-4513790695,1101546303,30363,48607,-18244,265856690,1646025,298612,4213
2025-09-17,-5734012058,-5314277279,-586369846,24198,43060,-18862,264869230,-987460,319329,20717
2025-09-18,12153720716,-4987795065,10062482611,25411,43963,-18552,266808583,1939299,333640,14311
2025-09-19,-15745036443,-1937327805,5414707124,26660,44263,-17603,268834779,2026196,336185,2544
2025-09-22,-6650808558,-5264117265,7763768812,25588,42827,-17239,272458389,3623610,315671,-20514
2025-09-23,10638719207,-1569628564,3205508461,26491,42691,-16200,272801313,342924,313214,-2457
2025-09-24,-12950186461,-8566887088,6951114347,23983,43900,-19917,274650726,1849413,317483,4269
2025-09-25,106720086,-1741264243,7017372982,22398,44177,-21779,275265205,614479,331781,14298
2025-09-26,-25157852509,-5652013477,-4525692203,20928,46047,-25119,271547451,-3717754,303853,-27928
2025-09-30,6550967708,696563422,5994898226,22485,44415,-21930,275429759,3882315,303356,-497
2025-10-01,12664964009,633133899,3297003911,21328,43677,-22349,276237290,808131,306765,3409
2025-10-02,23409818512,237157488,8823012020,21563,44750,-23187,278985046,2748191,324331,17566
2025-10-03,16959990133,-1689575342,6050341267,23773,44625,-20852,281879929,2894883,324129,-202
2025-10-07,676562801,-6712400915,11367965340,23925,47626,-23701,283226480,1346567,343649,19520
2025-10-08,-14094387269,-4346217344,3125885776,19719,50124,-30405,283589136,362665,323322,-20327
2025-10-09,4451256397,-2371509167,6033295063,23216,51968,-28752,285612707,2023459,328558,5236
2025-10-13,-56312754939,-727586554,-10807071417,19592,52653,-33061,283166811,-2445896,311917,-16641
2025-10-14,-16348769283,-1875833093,-6248507878,20750,48194,-27444,275345144,-7821665,308532,-3385
2025-10-15,-15100216875,-1037201550,3177280148,19516,41187,-21671,280251490,4906346,307921,-611
2025-10-16,12959197265,200305686,10611204633,19964,41999,-22035,285280494,5029004,315616,7695
2025-10-17,-21997157761,-5764756289,-3855028422,16979,42565,-25586,285198688,-81658,325180,9564
2025-10-20,14222590437,-2992595188,5873713719,17104,42355,-25251,289524473,4325785,331465,6285
2025-10-21,-240714297,-3889235937,8554849944,18684,41966,-23282,290984087,1459614,321838,-9627
2025-10-22,-22407410493,-2306397931,2750619314,16010,42105,-26095,292885334,1901247,322632,794
2025-10-23,-23942493081,-1100436637,249528620,16016,40323,-24307,292588808,-296526,324455,1823
2025-10-27,32639212655,-3045273794,21567895025,17910,42121,-24211,295984232,3395424,331665,7210
2025-10-28,-27113846791,618383184,2534608111,16317,43771,-27454,296373285,389053,334610,2945
2025-10-29,7188118436,-4813902331,8613137795,18655,43076,-24421,300589167,4215882,335286,676
2025-10-30,1655522597,-5433478960,473652176,18258,43004,-24746,298392447,-2196720,334100,-1186
2025-10-31,-28396614914,-3478817647,7481409020,19663,42599,-22936,301750958,3358512,311904,-22196
2025-11-03,-8445597152,-24999420,-4493283,17236,45116,-27880,304336086,2585150,314491,2587
2025-11-04,-7631187320,3644389392,-6840707173,16846,44688,-27842,300318118,-4017968,301739,-12752
2025-11-05,-57527398939,-1402487077,-6161215440,15145,47233,-32088,302885861,2567743,303225,1486
2025-11-06,-5161228109,2713254081,4390237447,17162,47079,-29917,307908099,5022238,312191,8966
2025-11-07,-35356498169,-1389320008,-10584156767,16556,47376,-30820,307760690,-148428,308212,-3979
2025-11-10,-5291526198,3037382623,3706517573,17333,47922,-30589,310128798,2368087,309906,1694
2025-11-11,-17367623754,2337032235,-4786115119,17165,48695,-31530,309815189,-312577,315817,5911
2025-11-12,-8484304834,-2448349841,3437700300,19241,49205,-29964,312952699,3137488,324867,9050
2025-11-13,-6635665606,-972024239,1589238899,18387,49901,-31514,313950396,997697,317639,-7228
2025-11-14,-60399178503,-4741432411,-18839255538,18329,52924,-34595,311008013,-2942383,310379,-7260
2025-11-17,7335242780,-8695463296,-14699345762,19298,50824,-31526,311090494,82481,316994,6615
2025-11-18,-48537891970,-3190317648,-19141988967,16232,51279,-35047,306328571,-4761923,321575,4581
2025-11-19,-25689012839,1075226767,-8068015510,15392,46439,-31047,306204612,-123937,310568,-11007
2025-11-20,13106672651,1342394479,5526616773,18243,42410,-24167,309665154,3460542,312978,2410
2025-11-21,-91599036019,-1023771260,-15273985905,15579,48787,-33208,303707617,-5957537,307097,-5881
2025-11-24,-29955849627,-688614563,1515241196,17426,48612,-31186,306380271,2672631,302711,-4384
2025-11-25,6338446345,-2034450321,2910545015,17872,47576,-29704,311368884,4988752,306282,3571
2025-11-26,12422608882,12021952422,-1702727350,19514,48171,-28657,311060645,-308239,294521,-11761
2025-11-27,13452960146,7645285077,2931793576,19133,47094,-27961,314005988,2945583,302274,7753
2025-11-28,-19469555406,4846350911,11699486639,20704,47025,-26321,317182219,3176231,303194,920
2025-12-01,-24349235260,7669838520,-2190365967,18268,47300,-29032,319360271,2178052,301654,-1540
2025-12-02,13575293316,1324853968,3442989139,18502,46865,-28363,319737013,376742,305582,3928
2025-12-03,16214806020,1404423040,3864197913,18808,48032,-29224,321425021,1687958,302856,-2726
2025-12-04,10345999632,-651930842,1305565610,19214,48653,-29439,322826443,1401422,299991,-2865
2025-12-05,36878028912,-505387079,5648880587,21744,48567,-26823,322916644,90201,303648,3657
2025-12-08,14087614446,150345516,4963908588,22295,49758,-27463,324739391,1822785,310486,6838
2025-12-09,-5888471251,-606058974,2120928550,20194,51621,-31427,326884262,2145215,313708,3222
2025-12-10,19607451411,1839673496,5261422253,21765,50394,-28629,327694562,810306,303179,-10529
2025-12-11,-18976810065,2101997667,-2489201839,21050,52058,-31008,326671838,-1022724,307829,4650
2025-12-12,16623924500,1347533033,7421292106,22121,51153,-29032,329349582,2677744,307405,-424
2025-12-15,-48994972132,-2123208168,-3655615199,20312,53998,-33686,331859338,2509756,304195,-3210
2025-12-16,-59500908751,3631124945,-14923972559,17364,51577,-34213,328789479,-3069859,296807,-7387
2025-12-17,-35433545584,797557087,10991187292,16177,45209,-29032,332174898,3385419,302030,5223
2025-12-18,-26841406358,3746563648,7134767014,16867,45598,-28731,332380151,205253,300546,-1484
