trade_date,taiwan_market_trade_date,institutional_trade_date,foreign_futures_trade_date,night_futures_trade_date,tsm_adr_trade_date,sox_trade_date,sp500_trade_date,nasdaq_trade_date,taiex_close,taiex_change_percent,tpex_close,turnover,advancing,declining,unchanged,foreign_cash_flow,foreign_futures_position,night_futures_change,tsm_adr_change_percent,sox_change_percent,sp500_change_percent,nasdaq_change_percent
2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-04,2026-08-03,2026-08-03,2026-08-03,2026-08-03,43386.41,0.62,362.89,1017962043091,1209,587,135,-19190915634,-90038,-67,0.4601,1.0545,1.4791,2.1284
2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-05,2026-08-04,2026-08-04,2026-08-04,2026-08-04,43360.66,-0.06,375.03,1246874875836,1170,612,144,-5731532826,-87858,1195,2.7234,6.552,1.7896,2.5897
2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-05,2026-08-05,2026-08-05,2026-08-05,44611.6,2.88,383.75,1384629510521,1265,505,173,90308325824,-87199,-259,-0.7599,-1.3989,-0.1676,-0.8334
2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-07,2026-08-06,2026-08-06,2026-08-06,2026-08-06,44396.7,-0.48,391.37,1199450973424,967,779,185,2019818140,-89383,285,1.0145,0.3315,-0.176,-0.0572
2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-10,2026-08-07,2026-08-07,2026-08-07,2026-08-07,44225.91,-0.38,384.19,1057109189087,833,953,152,-40715743790,-87911,736,0.44,2.5571,0.6184,1.299
2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-11,2026-08-10,2026-08-10,2026-08-10,2026-08-10,44928.76,1.59,391.61,1069337723750,1329,473,142,51740515132,-89201,-271,-0.3738,-2.9371,-0.0584,-0.3194
2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-12,2026-08-11,2026-08-11,2026-08-11,2026-08-11,45120.72,0.43,391.68,1086176207533,714,1043,192,22328683295,-88924,194,0.8579,0.8722,-0.3213,-0.6011
2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-13,2026-08-12,2026-08-12,2026-08-12,2026-08-12,45518.07,0.88,402.02,1093705784922,1102,661,183,11020811994,-86633,601,1.6799,2.4871,0.2627,0.5409
2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-14,2026-08-13,2026-08-13,2026-08-13,2026-08-13,46021.48,1.11,406.12,1352948642159,791,980,179,75694516575,-86249,364,0.3122,0.4566,0.6516,0.8069
2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,45811.01,-0.46,400.95,1348175702006,555,1233,161,45351330421,-85179,364,-0.9617,-0.3127,-0.1696,-0.2756
