trade_date,taiwan_market_trade_date,institutional_trade_date,foreign_futures_trade_date,night_futures_trade_date,tsm_adr_trade_date,sox_trade_date,sp500_trade_date,nasdaq_trade_date,foreign_cash_flow_status,foreign_cash_flow_score,foreign_futures_position_status,foreign_futures_position_score,night_futures_status,night_futures_score,tsm_adr_status,tsm_adr_score,sox_index_status,sox_index_score,market_score,max_score,percentage,market_status
2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-04,2026-08-03,2026-08-03,2026-08-03,2026-08-03,bearish,-1,bearish,-1,bearish,-1,bullish,1,bullish,1,-1,5,40,Bearish
2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-05,2026-08-04,2026-08-04,2026-08-04,2026-08-04,bearish,-1,bearish,-1,bullish,1,bullish,1,bullish,1,1,5,60,Bullish
2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-05,2026-08-05,2026-08-05,2026-08-05,bullish,1,bearish,-1,bearish,-1,bearish,-1,bearish,-1,-3,5,20,Strong Bearish
2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-07,2026-08-06,2026-08-06,2026-08-06,2026-08-06,bullish,1,bearish,-1,bullish,1,bullish,1,bullish,1,3,5,80,Strong Bullish
2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-10,2026-08-07,2026-08-07,2026-08-07,2026-08-07,bearish,-1,bearish,-1,bullish,1,bullish,1,bullish,1,1,5,60,Bullish
2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-11,2026-08-10,2026-08-10,2026-08-10,2026-08-10,bullish,1,bearish,-1,bearish,-1,bearish,-1,bearish,-1,-3,5,20,Strong Bearish
2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-12,2026-08-11,2026-08-11,2026-08-11,2026-08-11,bullish,1,bearish,-1,bullish,1,bullish,1,bullish,1,3,5,80,Strong Bullish
2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-13,2026-08-12,2026-08-12,2026-08-12,2026-08-12,bullish,1,bearish,-1,bullish,1,bullish,1,bullish,1,3,5,80,Strong Bullish
2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-14,2026-08-13,2026-08-13,2026-08-13,2026-08-13,bullish,1,bearish,-1,bullish,1,bullish,1,bullish,1,3,5,80,Strong Bullish
2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,bullish,1,bearish,-1,bullish,1,bearish,-1,bearish,-1,-1,5,40,Bearish
2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-18,2026-08-17,2026-08-17,2026-08-17,2026-08-17,strong_bullish,2,strong_bearish,-2,neutral,0,bullish,1,strong_bullish,2,52.1,100,52.1,Neutral
2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-19,2026-08-18,2026-08-18,2026-08-18,2026-08-18,bearish,-1,strong_bearish,-2,strong_bearish,-2,strong_bearish,-2,strong_bearish,-2,6.25,100,6.25,Strong Bearish
2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-20,2026-08-19,2026-08-19,2026-08-19,2026-08-19,strong_bearish,-2,strong_bearish,-2,bullish,1,bearish,-1,strong_bearish,-2,31.65,100,31.65,Bearish
2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-21,2026-08-20,2026-08-20,2026-08-20,2026-08-20,bullish,1,strong_bearish,-2,neutral,0,bullish,1,bullish,1,55.8,100,55.8,Neutral
2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-24,2026-08-21,2026-08-21,2026-08-21,2026-08-21,strong_bullish,2,strong_bearish,-2,neutral,0,bullish,1,bearish,-1,59.2,100,59.2,Neutral
2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-25,2026-08-24,2026-08-24,2026-08-24,2026-08-24,bearish,-1,strong_bearish,-2,bearish,-1,strong_bearish,-2,strong_bearish,-2,15.8,100,15.8,Strong Bearish
2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-26,2026-08-25,2026-08-25,2026-08-25,2026-08-25,neutral,0,strong_bearish,-2,bullish,1,strong_bullish,2,bullish,1,64.6,100,64.6,Bullish
2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-27,2026-08-26,2026-08-26,2026-08-26,2026-08-26,strong_bullish,2,strong_bearish,-2,neutral,0,neutral,0,neutral,0,62.5,100,62.5,Bullish
2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-28,2026-08-27,2026-08-27,2026-08-27,2026-08-27,strong_bullish,2,strong_bearish,-2,bullish,1,strong_bullish,2,strong_bullish,2,74.6,100,74.6,Bullish
2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-31,2026-08-28,2026-08-28,2026-08-28,2026-08-28,strong_bullish,2,strong_bearish,-2,bearish,-1,strong_bearish,-2,strong_bearish,-2,34.2,100,34.2,Bearish
2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-09-01,2026-08-31,2026-08-31,2026-08-31,2026-08-31,bearish,-1,strong_bearish,-2,neutral,0,bearish,-1,bullish,1,34.6,100,34.6,Bearish
2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-02,2026-09-01,2026-09-01,2026-09-01,2026-09-01,strong_bullish,2,strong_bearish,-2,strong_bearish,-2,bearish,-1,strong_bearish,-2,38.35,100,38.35,Bearish
2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-03,2026-09-02,2026-09-02,2026-09-02,2026-09-02,bearish,-1,bearish,-1,bullish,1,bullish,1,bullish,1,1,5,60,Bullish
2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-04,2026-09-03,2026-09-03,2026-09-03,2026-09-03,strong_bearish,-2,strong_bearish,-2,strong_bullish,2,bullish,1,neutral,0,0.5833333333,10,52.9166666665,Neutral
2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-07,2026-09-04,2026-09-04,2026-09-04,2026-09-04,strong_bullish,2,strong_bearish,-2,strong_bullish,2,strong_bullish,2,strong_bullish,2,77.5,100,77.5,Bullish
2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-08,2026-09-04,2026-09-04,2026-09-04,2026-09-04,strong_bullish,2,strong_bearish,-2,neutral,0,strong_bullish,2,strong_bullish,2,60.05,100,60.05,Bullish
2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-09,2026-09-08,2026-09-08,2026-09-08,2026-09-08,bullish,1,strong_bearish,-2,neutral,0,strong_bullish,2,bullish,1,37.1,100,37.1,Bearish
